Years	temp_diff
1901 - 1900	-0.948
1902 - 1901	-0.0736500000000007
1903 - 1902	-0.858149999999995
1904 - 1903	0.402149999999999
1905 - 1904	0.363
1906 - 1905	0.283949999999997
1907 - 1906	-0.298949999999998
1908 - 1907	0.650849999999998
1909 - 1908	-0.960749999999997
1910 - 1909	0.964950000000002
1911 - 1910	-0.0360000000000014
1912 - 1911	-1.0746
1913 - 1912	0.740250000000003
1914 - 1913	0.583799999999997
1915 - 1914	-0.410849999999996
1916 - 1915	-0.842700000000001
1917 - 1916	-0.919049999999999
1918 - 1917	1.49715
1919 - 1918	0.0661500000000004
1920 - 1919	-0.636299999999999
1921 - 1920	2.5401
1922 - 1921	-1.4895
1923 - 1922	-0.0140999999999991
1924 - 1923	-1.2744
1925 - 1924	1.73535
1926 - 1925	0.222899999999996
1927 - 1926	-0.757649999999998
1928 - 1927	0.281999999999996
1929 - 1928	-0.785699999999999
1930 - 1929	0.536700000000003
1931 - 1930	1.48155
1932 - 1931	-1.83825
1933 - 1932	0.883949999999999
1934 - 1933	1.43280000000001
1935 - 1934	-1.95135000000001
1936 - 1935	0.323550000000004
1937 - 1936	-0.344700000000003
1938 - 1937	1.33395
1939 - 1938	-0.2958
1940 - 1939	-0.378599999999999
1941 - 1940	0.304049999999997
1942 - 1941	-0.62415
1943 - 1942	0.151499999999999
1944 - 1943	-0.189599999999999
1945 - 1944	-0.408450000000002
1946 - 1945	0.915000000000006
1947 - 1946	-0.618300000000005
1948 - 1947	-0.637949999999996
1949 - 1948	0.731549999999999
1950 - 1949	-0.417000000000002
1951 - 1950	-0.431699999999999
1952 - 1951	1.0131
1953 - 1952	0.991799999999998
1954 - 1953	-0.215699999999998
1955 - 1954	-1.60815
1956 - 1955	0.328949999999999
1957 - 1956	0.767550000000007
1958 - 1957	-0.281100000000009
1959 - 1958	-0.2607
1960 - 1959	-0.239549999999994
1961 - 1960	-0.090449999999997
1962 - 1961	0.566099999999992
1963 - 1962	0.222300000000004
1964 - 1963	-1.059
1965 - 1964	0.280799999999999
1966 - 1965	-0.296399999999998
1967 - 1966	0.754200000000004
1968 - 1967	-0.627749999999999
1969 - 1968	0.391649999999998
1970 - 1969	-0.176099999999998
1971 - 1970	-0.414900000000003
1972 - 1971	-0.0259500000000017
1973 - 1972	0.911850000000001
1974 - 1973	-0.213749999999997
1975 - 1974	-0.69285
1976 - 1975	0.396450000000002
1977 - 1976	1.11344999999999
1978 - 1977	-0.933149999999998
1979 - 1978	-0.323699999999995
1980 - 1979	1.01505
1981 - 1980	1.0548
1982 - 1981	-2.1276
1983 - 1982	0.671100000000003
1984 - 1983	-0.182100000000005
1985 - 1984	-0.403499999999994
1986 - 1985	1.7505
1987 - 1986	0.123599999999996
1988 - 1987	-0.635100000000001
1989 - 1988	-0.724049999999998
1990 - 1989	1.1673
1991 - 1990	-0.0502500000000055
1992 - 1991	-0.787199999999999
1993 - 1992	-0.340350000000001
1994 - 1993	0.725549999999998
1995 - 1994	0.109200000000001
1996 - 1995	-1.038
1997 - 1996	0.753449999999994
1998 - 1997	1.74285
1999 - 1998	-1.0335
2000 - 1999	0.148950000000006
2001 - 2000	0.244499999999995
2002 - 2001	0.0550500000000014
2003 - 2002	-0.109949999999998
2004 - 2003	-0.157650000000004
2005 - 2004	0.405300000000004
2006 - 2005	0.147300000000001
2007 - 2006	-0.246600000000008
2008 - 2007	-1.59495
2009 - 2008	0.334200000000003
2010 - 2009	0.6633
2011 - 2010	0.0797999999999988
2012 - 2011	1.2801
2013 - 2012	1.86485
